epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.6502,0.55202,4.85992,1.16185,0.03048,0.54152,0.11648,0.09776,0.69268,3.21581,1.39282,0.00330383,0.00330383,0.00330383
2,119.366,0.5286,3.7454,1.08892,0.50391,0.358,0.32024,0.25029,0.84145,2.44961,1.65344,0.00661527,0.00661527,0.00661527
3,177.284,0.60667,3.20838,1.1181,0.52056,0.09039,0.07903,0.05507,1.55648,4.06576,2.93866,0.0099047,0.0099047,0.0099047
4,235.103,0.62563,2.76841,1.12948,0.51907,0.28173,0.22994,0.1804,0.77554,2.8278,1.62787,0.009901,0.009901,0.009901
5,292.675,0.59543,2.34058,1.10014,0.61816,0.41879,0.48465,0.41249,0.61773,1.73311,1.34966,0.009868,0.009868,0.009868
6,350.319,0.54615,1.93826,1.06827,0.58866,0.58196,0.64681,0.58415,0.49386,1.36084,1.12253,0.009835,0.009835,0.009835
7,408.052,0.53831,1.82448,1.0684,0.61509,0.58082,0.61387,0.53692,0.55175,1.30951,1.20027,0.009802,0.009802,0.009802
8,465.751,0.5107,1.71782,1.04499,0.63517,0.57203,0.61846,0.55139,0.48008,1.45095,1.11945,0.009769,0.009769,0.009769
9,523.382,0.48983,1.64741,1.0355,0.62792,0.55792,0.63422,0.56518,0.47341,1.53153,1.08838,0.009736,0.009736,0.009736
10,581.151,0.48634,1.60597,1.03292,0.73632,0.64137,0.7154,0.65487,0.44764,1.24752,1.04908,0.009703,0.009703,0.009703
11,638.784,0.46971,1.52459,1.02188,0.70293,0.67007,0.72707,0.66206,0.4351,1.0777,1.03591,0.00967,0.00967,0.00967
12,696.367,0.46435,1.48742,1.0151,0.75582,0.65369,0.83575,0.76779,0.43769,0.96077,1.04647,0.009637,0.009637,0.009637
13,753.961,0.45333,1.45945,1.00897,0.7161,0.57128,0.67407,0.62205,0.49372,1.31401,1.11622,0.009604,0.009604,0.009604
14,811.677,0.44358,1.45199,1.00755,0.67907,0.74985,0.8342,0.77366,0.40058,0.83546,0.99317,0.009571,0.009571,0.009571
15,869.424,0.43512,1.42928,1.00212,0.71553,0.68186,0.79127,0.72074,0.45699,1.00396,1.06014,0.009538,0.009538,0.009538
16,927.047,0.43361,1.41638,0.9979,0.76514,0.73603,0.85615,0.79551,0.42218,0.93168,1.0217,0.009505,0.009505,0.009505
17,984.896,0.42849,1.3829,0.99744,0.77571,0.78287,0.86793,0.80739,0.40444,0.86769,1.00105,0.009472,0.009472,0.009472
