epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3088.63,0.34432,0.42299,0.95415,0.93009,0.9392,0.96399,0.93324,0.28615,0.21054,0.90171,0.008614,0.008614,0.008614
44,3160.62,0.35009,0.43288,0.95651,0.94121,0.93355,0.98239,0.94412,0.28579,0.20445,0.90374,0.008581,0.008581,0.008581
45,3232.86,0.35045,0.41177,0.95286,0.90645,0.94245,0.97939,0.94431,0.26892,0.20561,0.88606,0.008548,0.008548,0.008548
46,3304.25,0.351,0.42327,0.96006,0.93704,0.94739,0.98673,0.95046,0.28416,0.21817,0.90414,0.008515,0.008515,0.008515
47,3376.68,0.34837,0.42072,0.95461,0.88461,0.9734,0.98545,0.95015,0.28139,0.1937,0.89506,0.008482,0.008482,0.008482
48,3449.18,0.34407,0.4034,0.95131,0.89499,0.97911,0.98142,0.93794,0.27635,0.20056,0.89082,0.008449,0.008449,0.008449
49,3521.73,0.34901,0.40726,0.95112,0.9387,0.9296,0.98343,0.94508,0.27586,0.19896,0.89343,0.008416,0.008416,0.008416
50,3593.08,0.34303,0.39253,0.95012,0.84938,0.71129,0.77726,0.7186,0.37272,0.87024,1.00603,0.008383,0.008383,0.008383
51,3665.14,0.33926,0.40154,0.95105,0.91353,0.9365,0.98014,0.94998,0.26287,0.19721,0.88514,0.00835,0.00835,0.00835
52,3736.79,0.34085,0.39583,0.94843,0.87928,0.97233,0.98932,0.94982,0.2721,0.19141,0.89231,0.008317,0.008317,0.008317
53,3809.12,0.34383,0.38188,0.95253,0.93818,0.91445,0.97797,0.93629,0.28803,0.22228,0.91249,0.008284,0.008284,0.008284
54,3883.34,0.34324,0.38844,0.95133,0.95602,0.96554,0.99444,0.9607,0.26763,0.17604,0.88621,0.008251,0.008251,0.008251
55,3954.23,0.33804,0.38007,0.95265,0.95002,0.96123,0.977,0.94273,0.27952,0.19191,0.89784,0.008218,0.008218,0.008218
56,4028.4,0.33787,0.39034,0.94849,0.90373,0.9798,0.99281,0.95967,0.26424,0.17821,0.88176,0.008185,0.008185,0.008185
57,4099.87,0.33453,0.37597,0.94576,0.96887,0.9482,0.99074,0.95643,0.27131,0.18055,0.88823,0.008152,0.008152,0.008152
58,4172.53,0.33817,0.38301,0.94731,0.90535,0.9538,0.9815,0.94885,0.27529,0.22859,0.89498,0.008119,0.008119,0.008119
