epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2522.32,0.36604,1.19962,0.96593,0.79679,0.87699,0.91452,0.86201,0.36339,0.77847,0.95871,0.008614,0.008614,0.008614
44,2580.7,0.36544,1.18937,0.96096,0.84016,0.90115,0.94197,0.8846,0.39039,0.67452,0.98844,0.008581,0.008581,0.008581
45,2640.48,0.36192,1.20565,0.96269,0.8085,0.9002,0.91451,0.86627,0.36096,0.66708,0.95466,0.008548,0.008548,0.008548
46,2701.46,0.35928,1.18439,0.96228,0.80756,0.88713,0.92072,0.87111,0.35633,0.71385,0.95259,0.008515,0.008515,0.008515
47,2760.56,0.36358,1.19539,0.96493,0.85476,0.83305,0.88949,0.8396,0.37526,0.77947,0.97572,0.008482,0.008482,0.008482
48,2819.82,0.36579,1.18455,0.96348,0.81584,0.90472,0.91934,0.86589,0.37042,0.70648,0.97624,0.008449,0.008449,0.008449
49,2878.23,0.35699,1.18626,0.96279,0.84996,0.87763,0.91941,0.87239,0.34151,0.65718,0.94135,0.008416,0.008416,0.008416
50,2939.63,0.36082,1.17268,0.96006,0.85628,0.8743,0.92177,0.88001,0.35057,0.67023,0.94719,0.008383,0.008383,0.008383
51,2999.47,0.36313,1.17581,0.96344,0.8144,0.89206,0.91476,0.86629,0.34739,0.68588,0.94434,0.00835,0.00835,0.00835
52,3060.48,0.35645,1.17019,0.95924,0.84219,0.83673,0.93353,0.87808,0.37345,0.70518,0.96928,0.008317,0.008317,0.008317
53,3120.22,0.35484,1.15204,0.95944,0.8215,0.90962,0.94139,0.89428,0.33892,0.67934,0.93681,0.008284,0.008284,0.008284
54,3179.53,0.35319,1.18295,0.95305,0.85524,0.92208,0.94016,0.89123,0.34691,0.65227,0.94842,0.008251,0.008251,0.008251
55,3237.9,0.35161,1.1633,0.95615,0.83696,0.8699,0.93244,0.87702,0.37823,0.71091,0.98166,0.008218,0.008218,0.008218
56,3297.24,0.34998,1.15303,0.95386,0.82472,0.85256,0.91011,0.85995,0.35251,0.68188,0.95679,0.008185,0.008185,0.008185
57,3356.69,0.35412,1.14886,0.95598,0.81952,0.85699,0.93012,0.87683,0.34834,0.73446,0.95189,0.008152,0.008152,0.008152
58,3415.93,0.35275,1.15829,0.95904,0.83235,0.8797,0.92924,0.87479,0.35542,0.70098,0.96254,0.008119,0.008119,0.008119
59,3476.9,0.36016,1.14253,0.96232,0.84038,0.88921,0.92965,0.87726,0.35284,0.65913,0.95441,0.008086,0.008086,0.008086
60,3535.38,0.34816,1.13752,0.95444,0.81246,0.9158,0.91556,0.86827,0.35255,0.66705,0.9551,0.008053,0.008053,0.008053
61,3594.73,0.34328,1.13117,0.94877,0.85278,0.90274,0.93968,0.8948,0.33398,0.634,0.93225,0.00802,0.00802,0.00802
